district,no_subway_price,subway_price,subway_premium_rate
光明,3.6382196998123826,4.156259681697613,0.14238831753671868
南山,11.203257142857144,10.827286981818181,-0.03355900487195989
坪山,2.6307618457300275,3.040138968058968,0.15561162367980885
大鹏新区,2.83910814479638,,
宝安,3.685267725752509,6.317038972431077,0.7141329864009207
盐田,3.977295454545455,4.062105730550285,0.02132360468918764
福田,9.199032727272726,8.864683585434173,-0.036346119396585594
罗湖,4.491155555555555,5.100699782187802,0.13572102304010406
龙华,4.606263312883436,5.509855758479314,0.19616604267250323
龙岗,3.248366213592233,3.989526024363234,0.22816387132391175
