district,subway,school,per_price
宝安,0,0,5.2905
宝安,1,0,11.7324
宝安,1,0,6.8518
宝安,1,1,5.392
宝安,1,1,5.6079
宝安,1,0,4.6634
宝安,1,1,3.7451
宝安,1,0,3.1529
宝安,0,0,1.1793
宝安,1,0,12.2189
宝安,1,1,2.7128
宝安,0,0,5.9784
宝安,1,0,4.8186
宝安,1,0,14.5678
宝安,1,1,5.6537
宝安,0,0,2.9879
宝安,1,1,5.935
宝安,1,0,6.4661
宝安,1,0,8.6345
宝安,1,1,6.4796
宝安,1,1,12.3238
宝安,1,1,3.081
宝安,0,0,2.5599
宝安,1,0,7.8616
宝安,0,1,3.1914
宝安,0,0,3.0144
宝安,1,0,6.2773
宝安,1,0,6.25
宝安,1,0,7.0293
宝安,1,1,6.5429
宝安,1,1,5.3398
宝安,1,0,4.8214
宝安,1,0,6.4188
宝安,1,0,4.3289
宝安,1,1,6.9239
宝安,1,1,9.3479
宝安,1,0,3.4017
宝安,1,0,2.9741
宝安,1,1,4.0229
宝安,1,1,4.2083
宝安,1,1,7.1216
宝安,1,0,8.125
宝安,1,0,6.032
宝安,1,1,3.9125
宝安,1,0,10.6741
宝安,1,0,6.1847
宝安,0,0,6.9267
宝安,1,1,4.8848
宝安,0,0,4.7179
宝安,1,0,11.0725
宝安,1,0,2.6803
宝安,1,0,10.0376
宝安,0,0,5.8933
宝安,1,0,8.1895
宝安,1,0,7.2145
宝安,1,1,5.877
宝安,1,0,4.824
宝安,1,0,5.9171
宝安,1,1,3.921
宝安,1,1,3.3684
宝安,1,0,3.3658
宝安,0,0,7.1362
宝安,1,0,5.2211
宝安,1,1,8.0171
宝安,1,1,5.6025
宝安,0,0,7.557
宝安,1,1,7.1543
宝安,1,0,6.6666
宝安,1,0,3.4625
宝安,1,1,7.0131
宝安,1,1,4.8185
宝安,1,0,3.1818
宝安,1,1,11.1391
宝安,1,0,5.4774
宝安,1,1,4.1724
宝安,1,1,6.716
宝安,1,0,7.1645
宝安,1,0,7.1613
宝安,1,1,5.5956
宝安,0,0,5.1263
宝安,1,0,10.0313
宝安,1,0,6.6056
宝安,1,1,7.8378
宝安,1,1,4.8098
宝安,1,1,2.985
宝安,1,1,2.7235
宝安,1,1,2.9525
宝安,0,0,1.5648
宝安,1,0,3.7547
宝安,1,0,4.8333
宝安,0,0,3.3698
宝安,1,1,8.2563
宝安,1,0,3.2125
宝安,1,0,3.7068
宝安,1,1,7.1793
宝安,1,0,3.024
宝安,1,0,5.2239
宝安,1,0,7.2645
宝安,0,0,3.075
宝安,1,1,7.8335
宝安,1,0,3.7142
宝安,1,1,7.647
宝安,1,1,2.4914
宝安,1,0,4.7305
宝安,1,1,4.7361
宝安,1,1,8.0332
宝安,1,0,4.0523
宝安,1,0,7.5746
宝安,0,0,2.586
宝安,1,1,6.5368
宝安,0,0,3.0289
宝安,1,0,10.1585
宝安,1,0,10.3947
宝安,1,0,5.5317
宝安,1,0,2.8571
宝安,1,0,1.0056
宝安,1,0,5.1517
宝安,1,0,9.1994
宝安,1,0,9.3506
宝安,1,0,3.5625
宝安,0,0,2.5761
宝安,1,0,2.6221
宝安,1,0,3.125
宝安,0,0,6.7932
宝安,1,1,8.8249
宝安,1,0,3.1239
宝安,1,0,5.4147
宝安,1,0,8.1172
宝安,0,1,2.2949
宝安,1,0,3.5091
宝安,1,0,4.6246
宝安,0,1,5.4408
宝安,1,0,5.0301
宝安,1,1,8.4105
宝安,1,1,4.2723
宝安,1,1,3.9459
宝安,1,0,10.8274
宝安,1,1,4.7063
