district,roomnum,hall,AREA,C_floor,school,subway,per_price,total_price,source_file,is_near_subway
宝安,2,1,44.15,middle,0,1,3.5787,158.0,sz_baoan_2025.xlsx,1
宝安,5,2,179.99,middle,0,1,6.5281,1175.0,sz_baoan_2025.xlsx,1
宝安,3,2,81.14,middle,1,1,3.0194,245.0,sz_baoan_2025.xlsx,1
宝安,2,2,77.33,high,0,1,2.3276,180.0,sz_baoan_2025.xlsx,1
宝安,4,2,108.67,middle,0,0,4.7851,520.0,sz_baoan_2025.xlsx,0
宝安,5,2,226.0,high,1,1,12.3008,2780.0,sz_baoan_2025.xlsx,1
宝安,6,2,364.11,low,1,1,11.5349,4200.0,sz_baoan_2025.xlsx,1
宝安,5,2,199.35,low,1,1,12.0391,2400.0,sz_baoan_2025.xlsx,1
宝安,5,2,352.0,high,0,1,11.3636,4000.0,sz_baoan_2025.xlsx,1
宝安,5,2,368.41,high,0,1,12.486,4600.0,sz_baoan_2025.xlsx,1
宝安,5,2,249.48,high,0,1,14.0291,3500.0,sz_baoan_2025.xlsx,1
宝安,3,2,106.61,high,1,1,2.7014,288.0,sz_baoan_2025.xlsx,1
宝安,7,3,217.67,high,0,1,12.1743,2650.0,sz_baoan_2025.xlsx,1
宝安,5,2,247.15,high,0,1,13.3522,3300.0,sz_baoan_2025.xlsx,1
宝安,5,3,370.7,middle,0,1,14.8367,5500.0,sz_baoan_2025.xlsx,1
宝安,4,2,116.22,low,0,1,10.3166,1199.0,sz_baoan_2025.xlsx,1
宝安,6,3,429.69,high,0,1,13.0047,5588.0,sz_baoan_2025.xlsx,1
宝安,7,3,217.67,high,0,1,11.3015,2460.0,sz_baoan_2025.xlsx,1
宝安,2,2,82.27,middle,0,1,2.4917,205.0,sz_baoan_2025.xlsx,1
宝安,2,2,38.55,middle,0,1,3.1647,122.0,sz_baoan_2025.xlsx,1
宝安,3,2,56.0,middle,0,1,3.1785,178.0,sz_baoan_2025.xlsx,1
宝安,3,2,80.55,middle,0,0,1.3656,110.0,sz_baoan_2025.xlsx,0
宝安,3,2,89.67,middle,1,1,6.5796,590.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.38,middle,0,1,5.471,489.0,sz_baoan_2025.xlsx,1
宝安,6,2,369.71,high,0,1,12.9831,4800.0,sz_baoan_2025.xlsx,1
宝安,5,2,177.0,high,0,1,12.7118,2250.0,sz_baoan_2025.xlsx,1
宝安,5,2,203.73,low,1,1,9.7187,1980.0,sz_baoan_2025.xlsx,1
宝安,5,2,166.16,middle,0,1,6.9812,1160.0,sz_baoan_2025.xlsx,1
宝安,2,1,30.55,high,0,0,3.0605,93.5,sz_baoan_2025.xlsx,0
宝安,3,2,89.0,middle,0,0,1.7415,155.0,sz_baoan_2025.xlsx,0
宝安,3,2,111.04,low,0,1,5.0432,560.0,sz_baoan_2025.xlsx,1
宝安,3,2,70.55,middle,0,0,1.956,138.0,sz_baoan_2025.xlsx,0
宝安,4,2,129.51,high,0,1,12.8793,1668.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.92,middle,0,1,10.6539,958.0,sz_baoan_2025.xlsx,1
宝安,4,2,116.62,high,1,1,6.4997,758.0,sz_baoan_2025.xlsx,1
宝安,2,2,43.0,high,0,1,2.9069,125.0,sz_baoan_2025.xlsx,1
宝安,2,2,50.0,middle,1,1,2.2,110.0,sz_baoan_2025.xlsx,1
宝安,3,2,62.58,low,0,1,2.6685,167.0,sz_baoan_2025.xlsx,1
宝安,3,2,83.49,middle,0,1,4.1322,345.0,sz_baoan_2025.xlsx,1
宝安,2,2,75.8,middle,0,1,7.4934,568.0,sz_baoan_2025.xlsx,1
宝安,2,2,65.0,middle,0,1,1.3538,88.0,sz_baoan_2025.xlsx,1
宝安,3,2,52.0,high,0,1,2.5384,132.0,sz_baoan_2025.xlsx,1
宝安,5,2,247.14,middle,0,1,16.1042,3980.0,sz_baoan_2025.xlsx,1
宝安,2,2,48.0,low,0,1,1.625,78.0,sz_baoan_2025.xlsx,1
宝安,3,2,110.62,low,1,1,10.1247,1120.0,sz_baoan_2025.xlsx,1
宝安,2,2,88.01,low,0,1,4.7721,420.0,sz_baoan_2025.xlsx,1
宝安,3,2,114.0,high,1,1,8.1578,930.0,sz_baoan_2025.xlsx,1
宝安,4,3,164.91,middle,1,1,6.549,1080.0,sz_baoan_2025.xlsx,1
宝安,2,2,50.0,low,0,0,1.7,85.0,sz_baoan_2025.xlsx,0
宝安,3,1,88.15,middle,0,1,7.1242,628.0,sz_baoan_2025.xlsx,1
宝安,3,2,120.41,low,1,1,5.9795,720.0,sz_baoan_2025.xlsx,1
宝安,3,2,85.89,low,1,1,4.3602,374.5,sz_baoan_2025.xlsx,1
宝安,3,2,87.7,low,0,1,3.9908,350.0,sz_baoan_2025.xlsx,1
宝安,3,2,80.5,high,0,1,1.5776,127.0,sz_baoan_2025.xlsx,1
宝安,5,2,140.75,low,1,1,11.2255,1580.0,sz_baoan_2025.xlsx,1
宝安,4,2,162.65,low,0,1,11.6815,1900.0,sz_baoan_2025.xlsx,1
宝安,2,1,70.11,middle,1,1,8.7006,610.0,sz_baoan_2025.xlsx,1
宝安,3,2,68.0,middle,0,1,2.3529,160.0,sz_baoan_2025.xlsx,1
宝安,3,2,75.0,low,0,0,0.9333,70.0,sz_baoan_2025.xlsx,0
宝安,5,2,176.17,high,0,1,15.3261,2700.0,sz_baoan_2025.xlsx,1
宝安,4,2,129.61,high,1,1,7.7,998.0,sz_baoan_2025.xlsx,1
宝安,4,2,167.0,middle,0,1,11.497,1920.0,sz_baoan_2025.xlsx,1
宝安,4,2,98.6,high,0,0,7.0791,698.0,sz_baoan_2025.xlsx,0
宝安,3,2,93.82,high,1,1,5.8622,550.0,sz_baoan_2025.xlsx,1
宝安,3,2,93.22,middle,0,0,0.6758,63.0,sz_baoan_2025.xlsx,0
宝安,2,2,65.0,middle,0,1,6.3076,410.0,sz_baoan_2025.xlsx,1
宝安,4,2,125.53,middle,0,1,4.6204,580.0,sz_baoan_2025.xlsx,1
宝安,3,2,58.0,middle,0,1,2.4827,144.0,sz_baoan_2025.xlsx,1
宝安,5,2,128.67,high,1,1,6.6837,860.0,sz_baoan_2025.xlsx,1
宝安,3,2,87.7,low,0,1,6.3854,560.0,sz_baoan_2025.xlsx,1
宝安,3,2,84.9,high,1,1,7.0671,600.0,sz_baoan_2025.xlsx,1
宝安,6,2,186.55,low,1,1,6.4325,1200.0,sz_baoan_2025.xlsx,1
宝安,3,2,84.58,high,1,1,3.4287,290.0,sz_baoan_2025.xlsx,1
